optimizer,lambda_smooth,lambda_feas,lambda_fit,mean_runtime_ms,mean_final_total_cost,std_final_total_cost,mean_cost_reduction_ratio,mean_feas_violation,robust_score
BSpline,1.0,2.0,0.05,92.5054250001267,1142.5293801717085,599.6203092180398,0.8512842104345296,14.643920808049195,0.5259747186193078
Bezier,1.0,2.0,0.1,36.88397500081919,402.1980340478964,11.486835060878917,0.9995006642183342,4.452254974627018,0.8143948388160104
BSpline,1.0,2.0,0.1,94.52987500480958,1118.4142831525944,548.3975081656524,0.8602979744661632,15.545992898061662,0.5087456933921428
Bezier,1.0,2.0,0.2,37.315975001547486,441.04006598970295,71.04804376571819,0.9995849338239808,4.352184309561092,0.8135163595586341
BSpline,1.0,2.0,0.2,90.55480000461102,900.9858295023554,598.73676733695,0.900982460199881,12.519602156623973,0.6876597738862559
Bezier,1.0,2.0,0.4,36.33402500054217,393.3972930398552,28.019362763804832,0.9993972373840639,4.160705212578978,0.7996850652110288
BSpline,1.0,2.0,0.4,93.14947499660775,844.8925239505584,222.72832331429768,0.8514153734107803,13.639678669470545,0.5455173478995403
Bezier,1.0,4.0,0.05,36.26632499799598,739.7764723195396,46.51908091272128,0.9992153022603448,4.211375470010435,0.7448541892188565
BSpline,1.0,4.0,0.05,93.72839999923599,3010.091256844981,788.7366466372089,0.7671017096936383,16.71874127350931,0.29830921538708727
Bezier,1.0,4.0,0.1,35.27207500155782,717.8223915783625,45.956231689642586,0.9991449325806409,4.141556879397391,0.7482114888717568
BSpline,1.0,4.0,0.1,89.52810000482714,1029.9719942309157,522.6722595091385,0.9187482560175275,11.605385258495378,0.7527402767249449
Bezier,1.0,4.0,0.2,36.73124999841093,690.9280509293491,47.15827994852442,0.9993651306947884,4.066739156928917,0.7792772570186309
BSpline,1.0,4.0,0.2,91.8876000068849,2107.9005312708828,1397.4125208883079,0.8741259141115122,15.066347321346216,0.558116987260886
Bezier,1.0,4.0,0.4,34.394550006254576,740.5916168579877,14.294268105437707,0.9992192553047238,4.314780489433089,0.7919583396992934
BSpline,1.0,4.0,0.4,85.74265000061132,1792.007644142982,1896.9623682343836,0.9018452473449715,11.379035503970947,0.736637966428252
Bezier,1.0,8.0,0.05,36.909775000822265,1327.7185633722052,29.11832442372331,0.9993663733791486,4.107781913528315,0.7801375758929803
BSpline,1.0,8.0,0.05,90.49462499751826,7602.734662268836,4047.739850308838,0.8321348117695312,19.043499093405988,0.36657753833687884
Bezier,1.0,8.0,0.1,35.29027500189841,1319.1879589613388,117.39895077530512,0.9989700858656676,4.126885310162497,0.6797484728804501
BSpline,1.0,8.0,0.1,87.18360000057146,1349.9392651103558,890.327421868298,0.943022594059784,8.769360730719324,0.8739504976175827
Bezier,1.0,8.0,0.2,35.2682749980886,1326.787895797336,70.48453263918026,0.9989924629216871,4.076993245594608,0.7010532719457445
BSpline,1.0,8.0,0.2,86.85574999617529,4094.693291522277,2730.666289967425,0.8811770650579863,14.041648671304966,0.6190882340785039
Bezier,1.0,8.0,0.4,35.66909999426571,1324.1680357308267,42.514704869085485,0.9992043421423886,4.030806790719534,0.7597339955140385
BSpline,1.0,8.0,0.4,92.65645000050426,3316.077861094736,2028.5619267018246,0.8966892024305892,12.854916283092585,0.6302871611574954
Bezier,2.0,0.5,0.05,40.46412500611041,361.41169383589926,133.20529528046507,0.9997212758298843,9.936040539317087,0.6361414783083563
BSpline,2.0,0.5,0.05,91.73862500392715,445.7833996925767,146.82045743164204,0.8293502539939598,18.88896928116761,0.41287686465085127
Bezier,2.0,0.5,0.1,39.677549997577444,331.4478385190338,133.6646230515002,0.9996544762159214,9.491858501327924,0.6446093765761606
BSpline,2.0,0.5,0.1,92.99779999855673,183.78763476448705,111.49353549722902,0.9020468667191122,11.856028196667909,0.687296463617462
Bezier,2.0,0.5,0.2,37.134175003302516,315.384820042043,41.806956066923185,0.9997876798798613,9.429303198880927,0.7621970324874923
BSpline,2.0,0.5,0.2,87.7906499990786,341.29409137623867,163.97630055557192,0.8736675492815265,16.26535331130738,0.591708991617137
Bezier,2.0,0.5,0.4,36.69495000576717,436.1525475380907,172.251736732416,0.9997619264210287,11.56978851856147,0.6764779566486693
BSpline,2.0,0.5,0.4,89.69989999604877,488.6461183452157,425.30900940919963,0.9055743666024936,16.449354598107284,0.6316608515244614
Bezier,2.0,1.0,0.05,35.36214999985532,399.5733920721878,106.24053702199008,0.9997941594764416,6.300099120452725,0.8557136474997596
BSpline,2.0,1.0,0.05,85.88170000075479,726.6293646023225,666.2345107727214,0.8973835510711224,15.563536071455745,0.6642006181400679
Bezier,2.0,1.0,0.1,38.261649999185465,406.2965637278378,67.6481429604818,0.9996626285232524,6.5450015783174695,0.7645740954446243
BSpline,2.0,1.0,0.1,95.40062499945634,352.03435882014196,201.7250384573931,0.9077129478152584,12.694458385199674,0.6586572829194163
Bezier,2.0,1.0,0.2,38.92492499289801,384.19802250333754,129.85920848073945,0.9997640448232973,5.973567878401815,0.7738248896377802
BSpline,2.0,1.0,0.2,95.92307499769959,742.7005762074104,486.27665757666034,0.8735487322310709,16.300251235053533,0.5092016916748745
Bezier,2.0,1.0,0.4,40.806524997606175,329.07433469775566,38.1940450195682,0.999642183364506,5.168530841438752,0.7465524898977924
BSpline,2.0,1.0,0.4,94.34675000011339,673.8415943708652,379.43800497434614,0.8312754105415238,15.10937326538833,0.4619278739434443
Bezier,2.0,2.0,0.05,39.04234999572509,514.5285998792306,62.32122416171988,0.9996287430817318,4.458365894224701,0.7894290697954345
BSpline,2.0,2.0,0.05,98.89779999866732,1303.858640233779,744.7347555343622,0.8460605848280596,15.977630465614766,0.4269401261766035
Bezier,2.0,2.0,0.1,37.25565000422648,578.2154805860416,67.37353739227771,0.9994552425495586,4.808318804084015,0.7697149923338238
