trial,optimizer,runtime_ms,iterations,eval_count,initial_total_cost,final_total_cost,cost_reduction_ratio,smoothness_cost,feasibility_cost,fitness_cost,max_vel_violation,max_acc_violation,converged
0,Bezier,52.51480000151787,220,239,733000.4982354873,196.42131001884226,0.9997320311370979,0.7659349873208638,189.34776579107904,31.538046202211827,4.22981589363233,0.5280925789970246,0.0
0,BSpline,142.56229999591596,220,243,4168.021176474181,656.8126187088343,0.8424161992227578,19.434056121619697,612.8900003903781,122.44281098418227,4.555832558740046,19.22074608619605,0.0
1,Bezier,52.83120000967756,220,231,1410584.567443945,211.1911116190162,0.9998502811412422,1.309302009991702,203.0828031409405,33.99503234041985,4.334464080220593,1.066366992567695,0.0
1,BSpline,139.98339998943266,220,235,9023.93372127596,1344.1618561668733,0.8510447995647721,35.32712477778361,1272.508689049252,181.630211699188,5.306173788314089,20.152016696015867,0.0
2,Bezier,53.10170000302605,220,237,812831.6531378335,179.65528632002963,0.9997789760208937,0.7823751739390605,169.64980095433316,46.115550958786926,4.014138599004554,0.5594248460426838,0.0
2,BSpline,132.96089999494143,220,234,5433.6365679222845,1525.510140017293,0.7192469314154705,36.67763885774155,1454.663178465138,170.84661347206705,7.879482740494263,25.451583340187696,0.0
3,Bezier,52.03199999232311,220,227,1488936.6715944852,209.24620236682216,0.9998594660160107,2.09566208815669,199.54543176155224,38.025542585566114,4.628736179147709,1.6730606926339995,0.0
3,BSpline,137.32160000654403,220,243,7180.615710236141,991.875855190037,0.8618675758158044,27.97947975394171,930.9901674557146,164.53103990190297,5.42164471468878,18.42918898074346,0.0
4,Bezier,54.698399995686486,220,245,618928.5369170384,204.5061934052087,0.9996695802807479,2.0795616569780226,197.39038692060373,25.1812241381347,4.293127668255418,1.5528290513656042,0.0
4,BSpline,135.74939999671187,220,232,2428.535474312268,500.0482596126325,0.7940947270888682,16.607534648662256,468.85552701191153,72.92598976029366,4.5165020805081255,15.84306716879873,0.0
5,Bezier,66.1952999944333,220,238,838225.2689955302,225.5613271189571,0.9997309060756552,2.416852591722583,214.56622735990936,42.89123583662588,4.999621441198317,1.7160360579087213,0.0
5,BSpline,142.92879999266006,220,239,5691.780612581064,733.5136276942143,0.8711275648831471,24.53581350554534,684.1756788544454,124.01067667111771,4.967767945527165,17.132398211710274,0.0
