sample_idx,t_rel_s,stamp_s,t_in_traj_s,x_des_m,y_des_m,z_des_m,x_act_m,y_act_m,z_act_m,ex_m,ey_m,ez_m,e_pos_norm_m,vx_des_mps,vy_des_mps,vz_des_mps,speed_des_mps,vx_act_mps,vy_act_mps,vz_act_mps,speed_act_mps,wx_act_radps,wy_act_radps,wz_act_radps,roll_des_rad,pitch_des_rad,yaw_des_rad,roll_act_rad,pitch_act_rad,yaw_act_rad,e_roll_rad,e_pitch_rad,e_yaw_rad,e_ang_norm_rad,roll_des_deg,pitch_des_deg,yaw_des_deg,roll_act_deg,pitch_act_deg,yaw_act_deg,e_roll_deg,e_pitch_deg,e_yaw_deg,e_ang_norm_deg
0,0.000606536865234375,1775825889.0248077,0.037156785,-19.293573762248673,0.881067494547337,0.8348537805889537,-19.31,0.92,0.8239086491634601,-0.016426237751325345,0.038932505452663024,-0.010945131425493582,0.043650397127701246,0.834814455440913,-1.926588167778814,0.5508625257122478,2.1707387372672264,0.0,0.0,0.0010354902187564546,0.0010354902187564546,0.0,0.0,0.0,0.0,-0.2565730803203949,-1.1619061600986336,0.0,0.0,0.0,0.0,0.2565730803203947,1.1619061600986331,1.1898973360841876,0.0,-14.700554639029706,-66.57231916390344,0.0,0.0,0.0,0.0,14.700554639029697,66.57231916390342,68.17609541148363
1,0.005253791809082031,1775825889.029455,0.041804092,-19.28943290815311,0.8714904431734058,0.8375880024161488,-19.31,0.92,0.8239137610789157,-0.020567091846888985,0.04850955682659419,-0.013674241337233162,0.05443498182878208,0.9244624637636532,-2.1169863436913734,0.6081579327410684,2.3887482281395047,0.0,0.0,0.0010093864841013325,0.0010093864841013325,0.0,0.0,0.0,0.0,-0.2574265323708602,-1.1590676631659134,0.0,0.0,0.0,0.0,0.25742653237086,1.1590676631659136,1.1873105185103758,0.0,-14.749453839538155,-66.40968526949774,0.0,0.0,0.0,0.0,14.749453839538143,66.40968526949776,68.02788168213394
2,0.01027059555053711,1775825889.0344718,0.046820801,-19.284505158170383,0.8601927776398914,0.8408307644265385,-19.31,0.92,0.8239187441455273,-0.025494841829615922,0.0598072223601086,-0.01691202028101113,0.06717817529774041,1.0172058713808776,-2.308715226020547,0.6668794665432355,2.6095214125444204,0.0,0.0,0.0009839536581024296,0.0009839536581024296,0.0,0.0,0.0,0.0,-0.2584229987961904,-1.155791981369447,0.0,0.0,0.0,0.0,0.2584229987961906,1.1557919813694468,1.1843300006774833,0.0,-14.806547160136065,-66.2220025275324,0.0,0.0,0.0,0.0,14.806547160136073,66.22200252753238,67.85711058954573
3,0.0160675048828125,1775825889.0402687,0.052617827,-19.27824590711454,0.845989347201419,0.8449336042334821,-19.31,0.92,0.8239236017192337,-0.031754092885460494,0.07401065279858099,-0.021010002514248338,0.0832305193321493,1.1191634401670039,-2.512418096474165,0.7306900299874381,2.8458178819489404,0.0,0.0,0.000959180171172022,0.000959180171172022,0.0,0.0,0.0,0.0,-0.2596675255313109,-1.1517303618208952,0.0,0.0,0.0,0.0,0.2596675255313108,1.1517303618208956,1.180639678375941,0.0,-14.877853289549664,-65.98928886941253,0.0,0.0,0.0,0.0,14.877853289549657,65.98928886941256,67.64567069662434
4,0.0202639102935791,1775825889.044465,0.056814174,-19.27335442958955,0.8349992224647518,0.8481279685866133,-19.31,0.92,0.8239283370022007,-0.03664557041044958,0.08500077753524826,-0.02419963158441263,0.0956747207005345,1.1894821190130858,-2.6479345775051044,0.7741753977013711,3.0042923933274324,0.0,0.0,0.0009350402031487043,0.0009350402031487043,0.0,0.0,0.0,0.0,-0.26063045272851537,-1.1485984824538817,0.0,0.0,0.0,0.0,0.2606304527285155,1.148598482453882,1.1777973963228276,0.0,-14.933024953927841,-65.80984539973856,0.0,0.0,0.0,0.0,14.933024953927848,65.80984539973858,67.48281993079517
5,0.025434017181396484,1775825889.0496352,0.061984236,-19.26693196229319,0.8207104515009609,0.8523068851110747,-19.31,0.92,0.8239329531637395,-0.04306803770681,0.09928954849903915,-0.028373931947335174,0.1118854339367295,1.2720916820670778,-2.801108721184669,0.8246265773579202,3.185033172129624,0.0,0.0,0.0009115229712444578,0.0009115229712444578,0.0,0.0,0.0,0.0,-0.26189018448348167,-1.1445060466793533,0.0,0.0,0.0,0.0,0.26189018448348156,1.1445060466793535,1.174087117557464,0.0,-15.00520226680602,-65.57536610192973,0.0,0.0,0.0,0.0,15.005202266806013,65.57536610192975,67.27023661672283
6,0.02987813949584961,1775825889.0540793,0.066428253,-19.261078400062054,0.8078238792332612,0.8561009496928981,-19.31,0.92,0.8239365623343603,-0.04892159993794465,0.11217612076673888,-0.03216438735853777,0.1265359744298528,1.3395482488337327,-2.9206076474241667,0.8652360539351809,3.3276075444942976,0.0,0.0,0.0008931261976107427,0.0008931261976107427,0.0,0.0,0.0,0.0,-0.26304028242839483,-1.1407691184042352,0.0,0.0,0.0,0.0,0.2630402824283946,1.1407691184042354,1.1707025120348833,0.0,-15.071098025076212,-65.36125588342236,0.0,0.0,0.0,0.0,15.0710980250762,65.36125588342237,67.07631300496227
7,0.036421775817871094,1775825889.060623,0.072971888,-19.25193104614669,0.7879420583248034,0.862002508999133,-19.31,0.92,0.8239418399974475,-0.0580689538533079,0.1320579416751967,-0.038060669001685477,0.1491975800271677,1.4328980210886575,-3.0760940374396215,0.9203927766506801,3.5160594604360904,0.0,0.0,0.0008662311789442066,0.0008662311789442066,0.0,0.0,0.0,0.0,-0.26485389730618253,-1.134866812622943,0.0,0.0,0.0,0.0,0.2648538973061827,1.1348668126229429,1.1653627200623984,0.0,-15.175010503235582,-65.02307867275866,0.0,0.0,0.0,0.0,15.175010503235592,65.02307867275864,66.77036546146105
8,0.04026961326599121,1775825889.0644708,0.076819932,-19.246274524660798,0.7758023106834239,0.8656353804630788,-19.31,0.92,0.8239461163765244,-0.0637254753392007,0.14419768931657617,-0.04168926408655438,0.16307024422476768,1.4844688576230778,-3.1561440511930487,0.9502481020434298,3.6149501402607442,0.0,0.0,0.0008444074586437572,0.0008444074586437572,0.0,0.0,0.0,0.0,-0.26599164781659573,-1.131154900542521,0.0,0.0,0.0,0.0,0.26599164781659557,1.131154900542521,1.162008160784402,0.0,-15.240198805621114,-64.81040177662685,0.0,0.0,0.0,0.0,15.240198805621105,64.81040177662685,66.5781633727054
9,0.0459291934967041,1775825889.0701303,0.082479485,-19.237605873639655,0.7574266851363338,0.8711784292570974,-19.31,0.92,0.8239502850052359,-0.07239412636034359,0.16257331486366622,-0.047228144251861504,0.18412357221907463,1.5558438785784998,-3.2585582096624397,0.9906862964200067,3.7443705903907354,0.0,0.0,0.0008231339232472114,0.0008231339232472114,0.0,0.0,0.0,0.0,-0.26776857691727185,-1.125339597783677,0.0,0.0,0.0,0.0,0.26776857691727196,1.125339597783677,1.156758065078532,0.0,-15.342009343583833,-64.47720947195431,0.0,0.0,0.0,0.0,15.34200934358384,64.47720947195431,66.27735504671931
10,0.05025744438171387,1775825889.0744586,0.086807547,-19.230712644216222,0.7430124401795395,0.8755651728448999,-19.31,0.92,0.8239543485884365,-0.07928735578377655,0.17698755982046055,-0.05161082425646335,0.20068572021650125,1.6068332538273997,-3.3245704914682115,1.018821727752292,3.830493410944196,0.0,0.0,0.0008023898190106931,0.0008023898190106931,0.0,0.0,0.0,0.0,-0.2692169039074314,-1.1205810893675892,0.0,0.0,0.0,0.0,0.26921690390743125,1.1205810893675894,1.152466797438328,0.0,-15.42499236747486,-64.20456702293498,0.0,0.0,0.0,0.0,15.424992367474852,64.204567022935,66.03148352217455
11,0.05526113510131836,1775825889.0794623,0.091811455,-19.222477214799156,0.726023003906663,0.8807815063285964,-19.31,0.92,0.8239583097595594,-0.08752278520084289,0.19397699609333707,-0.056823196569037004,0.2202639067369659,1.661902778652191,-3.3875956351657655,1.048337686351619,3.916214618443566,0.0,0.0,0.0007821601006224797,0.0007821601006224797,0.0,0.0,0.0,0.0,-0.2709963755856936,-1.1147092430223278,0.0,0.0,0.0,0.0,0.27099637558569345,1.114709243022328,1.1471772888529452,0.0,-15.526948584402346,-63.86813500940219,0.0,0.0,0.0,0.0,15.526948584402337,63.8681350094022,65.7284170045339
12,0.06074976921081543,1775825889.084951,0.097299961,-19.213140100773444,0.7070692516189221,0.8866629560679244,-19.31,0.92,0.823962171049496,-0.0968598992265548,0.21293074838107795,-0.06270078501842846,0.24218326144932367,1.717517939202828,-3.440328175061521,1.076996407785613,3.9932001059286746,0.0,0.0,0.0007624439532558841,0.0007624439532558841,0.0,0.0,0.0,0.0,-0.27308936350156354,-1.1077642317170977,0.0,0.0,0.0,0.0,0.27308936350156365,1.1077642317170975,1.140929179892188,0.0,-15.646867958553576,-63.47021517294186,0.0,0.0,0.0,0.0,15.646867958553582,63.470215172941856,65.37042673114463
13,0.06609249114990234,1775825889.0902936,0.102642658,-19.20377081898466,0.6883854511505668,0.8925291738938441,-19.31,0.92,0.8239651899161538,-0.1062291810153404,0.23161454884943322,-0.06856398397769037,0.26387678571031864,1.7668448107269081,-3.475183838411338,1.1011600202496223,4.05107352267817,0.0,0.0,0.0007470419386848554,0.0007470419386848554,0.0,0.0,0.0,0.0,-0.275283020986453,-1.100437294309339,0.0,0.0,0.0,0.0,0.27528302098645296,1.100437294309339,1.1343469400277355,0.0,-15.772555274135026,-63.05041258272077,0.0,0.0,0.0,0.0,15.772555274135023,63.05041258272077,64.99329216716875
14,0.07104015350341797,1775825889.0952413,0.107590457,-19.194869764940393,0.6709533693587524,0.8980685932928894,-19.31,0.92,0.8239688778651186,-0.11513023505960618,0.24904663064124766,-0.07409971542777072,0.28420056841096364,1.8082929461456845,-3.492966728268621,1.1202524504960456,4.089707262960789,0.0,0.0,0.0007282191645511362,0.0007282191645511362,0.0,0.0,0.0,0.0,-0.27746653103197433,-1.0930927886941701,0.0,0.0,0.0,0.0,0.2774665310319744,1.09309278869417,1.127758626895895,0.0,-15.897661184267815,-62.62960340836146,0.0,0.0,0.0,0.0,15.897661184267818,62.62960340836145,64.61580963060368
15,0.07793903350830078,1775825889.1021402,0.114489143,-19.182137996409743,0.6465737551942676,0.9059333773137711,-19.31,0.92,0.8239724729302159,-0.12786200359025557,0.2734262448057324,-0.08196090438355519,0.3127749880633826,1.85928966179798,-3.494492734881215,1.141599829352402,4.11967082313428,0.0,0.0,0.0007098840647389509,0.0007098840647389509,0.0,0.0,0.0,0.0,-0.2807844646994526,-1.081828675673545,0.0,0.0,0.0,0.0,0.28078446469945284,1.0818286756735453,1.1176731181907056,0.0,-16.087764780118682,-61.984217272321274,0.0,0.0,0.0,0.0,16.087764780118697,61.9842172723213,64.03795254755387
16,0.08123111724853516,1775825889.1054323,0.117781455,-19.175944174655136,0.6349566442569937,0.9097337944688267,-19.31,0.92,0.8239745863596929,-0.1340558253448627,0.2850433557430063,-0.08575920810913384,0.3264587580960758,1.8808378913702124,-3.4856681851042315,1.1496227581459904,4.124204936264561,0.0,0.0,0.0006990935573873627,0.0006990935573873627,0.0,0.0,0.0,0.0,-0.282492432269662,-1.0759791768963622,0.0,0.0,0.0,0.0,0.2824924322696618,1.0759791768963627,1.1124446788061884,0.0,-16.185624113436894,-61.64906568012177,0.0,0.0,0.0,0.0,16.185624113436884,61.6490656801218,63.73838503738105
17,0.0850520133972168,1775825889.1092532,0.121602325,-19.16867115305348,0.6215250118847109,0.9141742619728261,-19.31,0.92,0.823978037525595,-0.14132884694651793,0.29847498811528916,-0.09019622444723119,0.34233977334541427,1.90358607101837,-3.4676887145244826,1.157180096125934,4.121598079081176,0.0,0.0,0.0006814472340733639,0.0006814472340733639,0.0,0.0,0.0,0.0,-0.28458592285135065,-1.0687599806873074,0.0,0.0,0.0,0.0,0.28458592285135076,1.0687599806873074,1.1060004718823082,0.0,-16.30557228821804,-61.23543620586609,0.0,0.0,0.0,0.0,16.30557228821805,61.23543620586609,63.36915917833374
18,0.09138250350952148,1775825889.1155837,0.127932668,-19.15644473410547,0.5994731954030116,0.9215833035649637,-19.31,0.92,0.8239807356200393,-0.1535552658945285,0.32052680459698846,-0.09760256794492439,0.368568736355295,1.935932545927699,-3.4196045595531777,1.1655547137148976,4.098786156505606,0.0,0.0,0.0006676485247620896,0.0006676485247620896,0.0,0.0,0.0,0.0,-0.28834488115824314,-1.0556554488096137,0.0,0.0,0.0,0.0,0.2883448811582432,1.0556554488096133,1.094326823710169,0.0,-16.520944734568623,-60.48460183677959,0.0,0.0,0.0,0.0,16.520944734568626,60.48460183677956,62.70030840654956
