sample_idx,t_rel_s,stamp_s,t_in_traj_s,x_des_m,y_des_m,z_des_m,x_act_m,y_act_m,z_act_m,ex_m,ey_m,ez_m,e_pos_norm_m,vx_des_mps,vy_des_mps,vz_des_mps,speed_des_mps,vx_act_mps,vy_act_mps,vz_act_mps,speed_act_mps,wx_act_radps,wy_act_radps,wz_act_radps,roll_des_rad,pitch_des_rad,yaw_des_rad,roll_act_rad,pitch_act_rad,yaw_act_rad,e_roll_rad,e_pitch_rad,e_yaw_rad,e_ang_norm_rad,roll_des_deg,pitch_des_deg,yaw_des_deg,roll_act_deg,pitch_act_deg,yaw_act_deg,e_roll_deg,e_pitch_deg,e_yaw_deg,e_ang_norm_deg
0,0.0,1775831872.0822268,0.04214421,-19.266044742745432,-0.9616906510375928,0.7514619745530948,-19.31000025922032,-0.9195630556027399,0.7725751410699325,-0.04395551647488816,0.042127595434852894,0.0211131665168377,0.06444057360129966,1.970930947984861,-1.855346979076777,-0.9088379354638574,2.855322680089245,-2.249201409425628e-08,5.052452904727461e-06,0.0017290484320920429,0.0017290558141095959,5.93353880452522e-05,4.7739711431352375e-08,1.2531854771897791e-05,0.0,0.32393151344883125,-0.7551994081571625,-1.0107196492838142e-05,1.174785377386095e-08,-3.1192198773500216e-07,-1.0107196492636916e-05,-0.3239315017009776,0.7551990962351747,0.8217404047817234,0.0,18.559908571903296,-43.26973877818305,-0.0005790997017490531,6.731024395790691e-07,-1.787181343454705e-05,-0.0005790997017375237,-18.559907898800866,43.269720906369606,47.08225704936464
1,0.004991292953491211,1775831872.087218,0.047135376,-19.255603019951813,-0.9715268218031968,0.7466387001921698,-19.310000259331332,-0.9195630291158702,0.7725836777963098,-0.05439723937951868,0.05196379268732665,0.02594497760413994,0.07957661255320839,2.1695472311170865,-2.031549302244529,-0.9882204713410865,3.1322048872121453,-2.191070739351687e-08,5.539248721732177e-06,0.0016858312284732451,0.0016858403289315663,8.941499522408672e-05,3.776072508884883e-08,1.221120234262516e-05,0.0,0.32098682672991147,-0.7525618962905528,-9.734240548651209e-06,1.1961595463613192e-08,-2.5002426457151777e-07,-9.734240548731066e-06,-0.3209868147683159,0.7525616462662881,0.8181574217599509,0.0,18.391190450920966,-43.11862047981064,-0.0005577309002028251,6.853489363078671e-07,-1.4325335135810243e-05,-0.0005577309002074006,-18.391189765572026,43.11860615447549,46.876967244150045
2,0.009979963302612305,1775831872.0922067,0.052124045,-19.244195633530836,-0.9822122331463707,0.7414380350259544,-19.310000259439402,-0.9195630002466952,0.7725920012101545,-0.06580462590856584,0.0626492328996755,0.031153966184200077,0.09605074066809875,2.3601693355138846,-2.1977892476583385,-1.0611056041672147,3.3950879182456717,-2.1320134170585135e-08,6.004201176095743e-06,0.0016437052516036835,0.0016437162179147103,0.0001167536440857593,2.713341813986337e-08,1.1798871277581977e-05,0.0,0.31786730961966286,-0.7497876065241124,-9.217619962370185e-06,1.2126347760078774e-08,-1.899629204729826e-07,-9.217619962420542e-06,-0.317867297493315,0.7497874165611917,0.8143836865594585,0.0,18.212455286384873,-42.959665385047266,-0.0005281307209993483,6.947885475604331e-07,-1.0884073607081203e-05,-0.0005281307210022335,-18.21245459159632,42.95965450097365,46.66074814416188
3,0.014976024627685547,1775831872.0972028,0.057120112,-19.23183801414467,-0.9937199496133134,0.7358814038711542,-19.310000259544516,-0.919562969121465,0.7726001165850538,-0.07816224539984518,0.07415698049184849,0.03671871271389959,0.11382819608945714,2.54316372027592,-2.3543819943897226,-1.127628381022902,3.644494759129517,-2.0722891486338407e-08,6.4406138678163875e-06,0.0016026244404098544,0.001602637382234494,0.00014114216666044185,1.6093513648055444e-08,1.1305092322707833e-05,0.0,0.31456826983076774,-0.7468710475118445,-8.571620838084089e-06,1.2234239349544606e-08,-1.3217129246996702e-07,-8.57162083800489e-06,-0.3145682575965285,0.7468709153405522,0.8104130755006504,0.0,18.023434230035456,-42.79255886294347,-0.0004911176976086078,7.009702802817834e-07,-7.572857231318348e-06,-0.0004911176976040701,-18.02343352906518,42.79255129008625,46.43324888840421
4,0.019982576370239258,1775831872.1022093,0.062126721,-19.218557037147523,-1.0060119274357526,0.7299958923924661,-19.31000025964663,-0.9195629358981222,0.7726080291915274,-0.0914432224991053,0.08644899153763042,0.042612136799061284,0.13285738700379474,2.718602895028433,-2.5013727448498257,-1.1877957798891894,3.880531680615054,-2.0121665771459492e-08,6.842512788346246e-06,0.0015625805744975375,0.0015625955561767077,0.00016240673181439037,6.593000687197711e-09,1.0740202532440136e-05,0.0,0.3110842125833487,-0.7438069963151726,-7.811410658958518e-06,1.2290813736282512e-08,-7.70305446920311e-08,-7.81141065875346e-06,-0.3110842002925347,0.7438069192846277,0.8062394885568138,0.0,17.823812454176377,-42.61700166116216,-0.0004475608628018283,7.042117538704063e-07,-4.4135251044472476e-06,-0.00044756086279007935,-17.82381174996461,42.61699724763705,46.19411997109146
5,0.0250091552734375,1775831872.107236,0.067153232,-19.204359739068835,-1.019067981772905,0.7238003705009755,-19.31000025974573,-0.9195629007625887,0.772615744040915,-0.10564052067689644,0.09950508101031619,0.04881537353993959,0.15311473296061096,2.8867422927505433,-2.638945555496113,-1.2416609374264556,4.1035395201165175,-1.9518788421145846e-08,7.204687300847663e-06,0.0015235300040145482,0.0015235470393239112,0.00018043774545175212,-1.5827194624142066e-09,1.0113795202710877e-05,0.0,0.3074014385623643,-0.7405836832211828,-6.9529429250252625e-06,1.2303213705710888e-08,-2.4871814136067352e-08,-6.9529429249648445e-06,-0.3074014262591507,0.7405836583493688,0.8018477361249068,0.0,17.612805045873547,-42.4323194248273,-0.0003983742847992931,7.049222197847436e-07,-1.4250499788304791e-06,-0.0003983742847958314,-17.61280434095133,42.432317999777325,45.94249109207688
6,0.02997279167175293,1775831872.1121995,0.072117011,-19.189529826665066,-1.0326152005130709,0.7174324951056811,-19.31000025984182,-0.9195628639248661,0.7726232661420271,-0.12047043317675588,0.1130523365882048,0.055190771036346065,0.1741837457555507,3.0449196185668543,-2.764966172415067,-1.2884216442957228,4.310058439467223,-1.8916264816116437e-08,7.522718748544368e-06,0.0014854647706173995,0.0014854838189628987,0.0001951574939114726,-8.618389715643087e-09,9.435537533781994e-06,0.0,0.3035750464970487,-0.7372496994767966,-6.012555909920913e-06,1.2277588386424562e-08,2.4020992091428526e-08,-6.012555910039907e-06,-0.3035750342194605,0.7372497234977886,0.7973048076081464,0.0,17.393568929768616,-42.241296227308744,-0.0003444940777249087,7.034539971409619e-07,1.376301466555983e-06,-0.0003444940777317266,-17.39356822631463,42.24129760361021,45.68220046143688
7,0.03497576713562012,1775831872.1172025,0.077119882,-19.173808392077166,-1.04687738430258,0.7107957467899101,-19.310000259934903,-0.9195628256150329,0.7726306002563655,-0.13619186785773607,0.12731455868754715,0.06183485346645545,0.19641988399243585,3.1964358326852067,-2.8820900041581328,-1.3290830954636788,4.50445409558023,-1.8315820676797353e-08,7.792998528570402e-06,0.0014483432368129156,0.0014483642023963618,0.00020653331602090032,-1.4673037419416226e-08,8.715376062646786e-06,0.0,0.299518051261036,-0.7337300350125889,-5.0069460636537495e-06,1.2219231764846921e-08,6.941377765217919e-08,-5.006946063534912e-06,-0.2995180390418044,0.7337301044263667,0.7925092566513304,0.0,17.161120225240406,-42.03963430820747,-0.00028687687769700067,7.00110409017921e-07,3.97711649952938e-06,-0.0002868768776901918,-17.161119525130008,42.039638285323974,45.407435631171396
8,0.03998374938964844,1775831872.1222105,0.082127904,-19.15733148372378,-1.0617162234518331,0.7039647047365556,-19.31000026002499,-0.9195627860791624,0.7726377511422394,-0.15266877630120845,0.14215343737267072,0.06867304640568384,0.21961635257150466,3.3401579433777857,-2.9893910465205558,-1.3632834960886295,4.685259417197154,-1.7718940416461995e-08,8.012736500264302e-06,0.0014121577165818106,0.0014121804490792728,0.00021458423662964416,-1.9883547924398256e-08,7.96289458124505e-06,0.0,0.2952435753603853,-0.7300374292529933,-3.95276713484163e-06,1.2132701784013318e-08,1.1112105531979146e-07,-3.952767134940416e-06,-0.2952435632276833,0.7300375403740489,0.7874792517891468,0.0,16.916210796502742,-41.82806358277694,-0.00022647687422444417,6.951526063148076e-07,6.366767484863795e-06,-0.0002264768742301042,-16.91621010135012,41.82806994954444,45.119237581638
9,0.04496908187866211,1775831872.1271958,0.087113177,-19.140234277289654,-1.0769967002951668,0.6970107135952067,-19.3100002601121,-0.9195627455752426,0.7726447233233785,-0.16976598282244737,0.15743395471992416,0.0756340097281718,0.24357020025033402,3.475327114146597,-3.086323859352535,-1.3908665440783643,4.851577399008258,-1.7126901681737042e-08,8.179956389987761e-06,0.0013768690216909088,0.001376893320076742,0.00021936393916433935,-2.436773477013505e-08,7.187243463411565e-06,0.0,0.29076308886996766,-0.7261831152037291,-2.8665572275407477e-06,1.2021922824078821e-08,1.4900417901977323e-07,-2.8665572275876627e-06,-0.2907630768480449,0.7261832642079082,0.7822309761713684,0.0,16.65949783043643,-41.60722765483612,-0.00016424163087080723,6.888054394517121e-07,8.537310587644773e-06,-0.00016424163087349526,-16.659497141630993,41.607236192146715,44.81853353901788
