sample_idx,t_rel_s,stamp_s,t_in_traj_s,x_des_m,y_des_m,z_des_m,x_act_m,y_act_m,z_act_m,ex_m,ey_m,ez_m,e_pos_norm_m,vx_des_mps,vy_des_mps,vz_des_mps,speed_des_mps,vx_act_mps,vy_act_mps,vz_act_mps,speed_act_mps,wx_act_radps,wy_act_radps,wz_act_radps,roll_des_rad,pitch_des_rad,yaw_des_rad,roll_act_rad,pitch_act_rad,yaw_act_rad,e_roll_rad,e_pitch_rad,e_yaw_rad,e_ang_norm_rad,roll_des_deg,pitch_des_deg,yaw_des_deg,roll_act_deg,pitch_act_deg,yaw_act_deg,e_roll_deg,e_pitch_deg,e_yaw_deg,e_ang_norm_deg
0,-0.003304004669189453,1775872616.6820123,0.021029864,-19.318717865746926,0.902425127982731,0.7213669345561072,-19.31,0.92,0.7276916844181279,0.008717865746927345,0.01757487201726904,0.0063247498620206954,0.020612611926244723,-0.6499433998646609,-1.3995497799344863,-0.3122819821976458,1.5743843387011933,0.0,0.0,0.0029004741863885323,0.0029004741863885323,0.0,0.0,0.0,0.0,0.19967603117019925,-2.005556138007902,0.0,0.0,0.0,0.0,-0.19967603117019905,2.0055561380079023,2.0154716421039156,0.0,11.44059385597509,-114.90990228440965,0.0,0.0,0.0,0.0,-11.440593855975079,114.90990228440967,115.47801882085592
1,0.0016949176788330078,1775872616.6870112,0.02602871,-19.322313690732503,0.8946883364048185,0.7197813544002014,-19.31,0.92,0.7277059990232152,0.012313690732504767,0.025311663595181555,0.007924644623013788,0.029242217525565235,-0.7583532969831275,-1.663919016071033,-0.31757515548422877,1.8559580260525308,0.0,0.0,0.0028257421123927613,0.0028257421123927613,0.0,0.0,0.0,0.0,0.1719573654639831,-1.9984327044811399,0.0,0.0,0.0,0.0,-0.171957365463983,1.9984327044811394,2.0058171925370254,0.0,9.852431297274892,-114.50175960768419,0.0,0.0,0.0,0.0,-9.852431297274887,114.50175960768416,114.9248596071512
2,0.00670313835144043,1775872616.6920195,0.03103705,-19.326445964370873,0.8856261207198464,0.7181682898863876,-19.31,0.92,0.7277199453361674,0.016445964370873867,0.034373879280153674,0.009551655449779761,0.039284442756464526,-0.8614348589496501,-1.9229650745441278,-0.322054345646855,2.131568365237233,0.0,0.0,0.0027531074045584075,0.0027531074045584075,0.0,0.0,0.0,0.0,0.1516687890294662,-1.9919626381382793,0.0,0.0,0.0,0.0,-0.15166878902946612,1.9919626381382791,1.997728353231359,0.0,8.689981495248494,-114.13105211306865,0.0,0.0,0.0,0.0,-8.68998149524849,114.13105211306863,114.46140325377698
3,0.011698722839355469,1775872616.697015,0.036032477,-19.331068061908198,0.8753094125873193,0.7165390916800647,-19.31,0.92,0.7277335333617487,0.0210680619081991,0.04469058741268073,0.011194441681684042,0.050659918677617245,-0.9587325692276495,-2.1755349612785055,-0.3257003564161504,2.399625226824498,0.0,0.0,0.0026824308832591177,0.0026824308832591177,0.0,0.0,0.0,0.0,0.1361499177235975,-1.985879623643806,0.0,0.0,0.0,0.0,-0.13614991772359764,1.9858796236438057,1.990541303188609,0.0,7.8008156666155415,-113.78252105581842,0.0,0.0,0.0,0.0,-7.8008156666155495,113.78252105581839,114.0496156191781
4,0.01669478416442871,1775872616.702011,0.041028693,-19.33616327875248,0.8637435752595495,0.7148934687055424,-19.31,0.92,0.7277467726902559,0.026163278752481034,0.05625642474045056,0.012853303984713516,0.0633601602190324,-1.0505333876829506,-2.42234258961003,-0.3285261785078098,2.6606941707081235,0.0,0.0,0.0026135828851991394,0.0026135828851991394,0.0,0.0,0.0,0.0,0.12378977465616815,-1.980000099102509,0.0,0.0,0.0,0.0,-0.12378977465616803,1.9800000991025088,1.9838659986892688,0.0,7.092631634673957,-113.44564911405851,0.0,0.0,0.0,0.0,-7.09263163467395,113.4456491140585,113.66714884440121
5,0.021697998046875,1775872616.7070143,0.046031766,-19.34171127754027,0.850940759294793,0.7132334963422318,-19.31,0.92,0.7277596720528052,0.031711277540271254,0.06905924070520708,0.014526175710573463,0.07736791085967293,-1.1369361484485194,-2.6636743866324553,-0.33053335892968544,2.914967812003433,0.0,0.0,0.0025464516213070786,0.0025464516213070786,0.0,0.0,0.0,0.0,0.11363617930839372,-1.974215982216678,0.0,0.0,0.0,0.0,-0.11363617930839354,1.9742159822166778,1.9774837358844628,0.0,6.510873474362814,-113.11424362829004,0.0,0.0,0.0,0.0,-6.510873474362803,113.11424362829003,113.3014721219425
6,0.026709318161010742,1775872616.7120256,0.051043018,-19.34768780897877,0.8369212572786568,0.71156280983117,-19.31,0.92,0.7277722398936998,0.03768780897877022,0.08307874272134319,0.01620943006252973,0.09265632229228317,-1.2179387605367966,-2.899567888789606,-0.3317187172407477,3.162420919720455,0.0,0.0,0.002480933904727311,0.002480933904727311,0.0,0.0,0.0,0.0,0.10508722890448316,-1.9684595700448202,0.0,0.0,0.0,0.0,-0.10508722890448308,1.9684595700448204,1.971262642211804,0.0,6.021054696952079,-112.78442550570485,0.0,0.0,0.0,0.0,-6.021054696952074,112.78442550570486,112.94502971054361
7,0.03170371055603027,1775872616.71702,0.056037506,-19.354034441648405,0.821786978724489,0.7098938559920605,-19.31,0.92,0.7277844837644422,0.04403444164840664,0.09821302127551101,0.017890627772381706,0.10910959701804798,-1.2931522694527684,-3.1288639360904473,-0.33207847193330026,3.401809582278204,0.0,0.0,0.002416849287632472,0.002416849287632472,0.0,0.0,0.0,0.0,0.097773891086873,-1.9627134182933086,0.0,0.0,0.0,0.0,-0.09777389108687284,1.9627134182933084,1.9651472454060206,0.0,5.6020313058496,-112.45519526190152,0.0,0.0,0.0,0.0,-5.602031305849591,112.45519526190151,112.59464328352443
8,0.03669857978820801,1775872616.722015,0.061032435,-19.360743577776855,0.8055204790915307,0.7082250065457225,-19.31,0.92,0.727796410813655,0.05074357777685634,0.11447952090846936,0.01957140426793247,0.12674190805746688,-1.3628628077338336,-3.352380866116492,-0.3316178880791249,3.633981690639369,0.0,0.0,0.002354217937605584,0.002354217937605584,0.0,0.0,0.0,0.0,0.09138182390612669,-1.9569242778343952,0.0,0.0,0.0,0.0,-0.09138182390612659,1.9569242778343954,1.9590567288667473,0.0,5.23579283402875,-112.12350194659736,0.0,0.0,0.0,0.0,-5.235792834028745,112.12350194659737,112.24568239076945
9,0.04169964790344238,1775872616.727016,0.066033529,-19.36779604127348,0.7881299065947013,0.7065584565837941,-19.31,0.92,0.727808028350229,0.05779604127348037,0.13187009340529876,0.021249571766434827,0.14553916387648008,-1.4271393263332042,-3.57036331107878,-0.330334809712493,3.8591892822679754,0.0,0.0,0.002293030671623372,0.002293030671623372,0.0,0.0,0.0,0.0,0.08570181616357879,-1.9510597807321262,0.0,0.0,0.0,0.0,-0.08570181616357875,1.951059780732126,1.952941133082159,0.0,4.9103523627791255,-111.78749101367065,0.0,0.0,0.0,0.0,-4.910352362779123,111.78749101367063,111.89528456310455
