sample_idx,t_rel_s,stamp_s,t_in_traj_s,x_des_m,y_des_m,z_des_m,x_act_m,y_act_m,z_act_m,ex_m,ey_m,ez_m,e_pos_norm_m,vx_des_mps,vy_des_mps,vz_des_mps,speed_des_mps,vx_act_mps,vy_act_mps,vz_act_mps,speed_act_mps,wx_act_radps,wy_act_radps,wz_act_radps,roll_des_rad,pitch_des_rad,yaw_des_rad,roll_act_rad,pitch_act_rad,yaw_act_rad,e_roll_rad,e_pitch_rad,e_yaw_rad,e_ang_norm_rad,roll_des_deg,pitch_des_deg,yaw_des_deg,roll_act_deg,pitch_act_deg,yaw_act_deg,e_roll_deg,e_pitch_deg,e_yaw_deg,e_ang_norm_deg
0,8.463859558105469e-05,1775831872.0823114,0.042228906,-19.33476506458485,0.8638308768824167,0.8360062179218184,-19.31,0.92,0.8668379496518492,0.024765064584851615,0.056169123117583375,0.030831731730030842,0.06869406449732539,-1.0764322531747081,-2.501238779555456,-1.3237354190582498,3.0277346792108726,0.0,0.0,0.0007690555700405906,0.0007690555700405906,0.0,0.0,0.0,0.0,0.4524866040310053,-1.9771978757260176,0.0,0.0,0.0,0.0,-0.45248660403100516,1.9771978757260174,2.028313478386166,0.0,25.925572697183867,-113.28509354133264,0.0,0.0,0.0,0.0,-25.92557269718386,113.28509354133263,116.21380184102684
1,0.0050809383392333984,1775831872.0873077,0.047225113,-19.34047944060976,0.8505649976361134,0.8289753473033332,-19.31,0.92,0.8668417467979768,0.030479440609759934,0.06943500236388667,0.03786639949464354,0.08475895270615826,-1.1746040674984746,-2.7490690342360926,-1.4390778631812038,3.317833685807338,0.0,0.0,0.0007498798611156614,0.0007498798611156614,0.0,0.0,0.0,0.0,0.44863964581922156,-1.9745909858318067,0.0,0.0,0.0,0.0,-0.44863964581922167,1.9745909858318065,2.0249165644858116,0.0,25.705158227685462,-113.13572975273905,0.0,0.0,0.0,0.0,-25.70515822768547,113.13572975273904,116.0191730111672
2,0.010079622268676758,1775831872.0923064,0.052223716,-19.346670848470787,0.8360809275408647,0.8213878740029453,-19.31,0.92,0.8668454492376734,0.03667084847078783,0.08391907245913532,0.04545757523472804,0.10224261829682399,-1.2662007880278379,-2.986104113004511,-1.5450881378705925,3.5926841724667633,0.0,0.0,0.0007311788039659582,0.0007311788039659582,0.0,0.0,0.0,0.0,0.44456490335065335,-1.9718459575616252,0.0,0.0,0.0,0.0,-0.4445649033506536,1.9718459575616247,2.021339762049739,0.0,25.471692681633787,-112.97845121821356,0.0,0.0,0.0,0.0,-25.4716926816338,112.97845121821354,115.81423732742813
3,0.015076875686645508,1775831872.0973036,0.057221166,-19.35330197892849,0.8204430344182837,0.8132958869658165,-19.31,0.92,0.8668490593725914,0.04330197892848986,0.09955696558171634,0.05355317240677493,0.12105615659598726,-1.3511549111343337,-3.21217165035026,-1.6416874744223684,3.852116829597934,0.0,0.0,0.0007129482772584537,0.0007129482772584537,0.0,0.0,0.0,0.0,0.4402636713232842,-1.9689647953876739,0.0,0.0,0.0,0.0,-0.44026367132328437,1.9689647953876737,2.0175862969803995,0.0,25.225250239759035,-112.81337278555341,0.0,0.0,0.0,0.0,-25.225250239759045,112.8133727855534,115.5991796204052
4,0.02008366584777832,1775831872.1023104,0.062227913,-19.360354574956034,0.8036705087120471,0.8047282938840727,-19.31,0.92,0.8668525794680906,0.050354574956035236,0.11632949128795289,0.062124285584017835,0.1411650120307489,-1.429627886291396,-3.427717677081541,-1.7290549103603172,4.096671240175419,0.0,0.0,0.0006951686104280591,0.0006951686104280591,0.0,0.0,0.0,0.0,0.4357201560666274,-1.9659384403969244,0.0,0.0,0.0,0.0,-0.4357201560666275,1.9659384403969247,2.0136449552572615,0.0,24.9649259913993,-112.63997541727511,0.0,0.0,0.0,0.0,-24.96492599139931,112.63997541727512,115.37335737405057
5,0.025094270706176758,1775831872.107321,0.067238509,-19.367789276720963,0.785832122967201,0.7957398051334335,-19.31,0.92,0.8668560118067845,0.05778927672096401,0.1341678770327991,0.07111620667335106,0.1624750275673995,-1.5015081614011547,-3.6324645311329804,-1.8070582899350898,4.326058828993955,0.0,0.0,0.000677836408082672,0.000677836408082672,0.0,0.0,0.0,0.0,0.4309285936849612,-1.9627648931012316,0.0,0.0,0.0,0.0,-0.4309285936849614,1.962764893101232,2.009513741790782,0.0,24.69038968965618,-112.45814455114676,0.0,0.0,0.0,0.0,-24.690389689656186,112.45814455114679,115.13665627815368
6,0.03007817268371582,1775831872.112305,0.072222431,-19.37552520923238,0.7670981390513859,0.7864348042660829,-19.31,0.92,0.8668593585435204,0.06552520923237992,0.15290186094861413,0.08042455427743744,0.18477186219016406,-1.5664032494606237,-3.8252397578481667,-1.8752867782732159,4.539028403271942,0.0,0.0,0.0006609331722094173,0.0006609331722094173,0.0,0.0,0.0,0.0,0.425907279366848,-1.9594581764661048,0.0,0.0,0.0,0.0,-0.4259072793668479,1.9594581764661045,2.005211548923839,0.0,24.402689571619682,-112.26868364390829,0.0,0.0,0.0,0.0,-24.402689571619675,112.26868364390828,114.89015878422656
7,0.03507542610168457,1775831872.1173022,0.077219489,-19.383589739805913,0.7473773989714612,0.7767872821063588,-19.31,0.92,0.8668626218504212,0.07358973980591443,0.17262260102853888,0.09007533974406234,0.20815277807554852,-1.624858413669816,-4.007627521777506,-1.9343234984167008,4.737388585952088,0.0,0.0,0.0006444557660343834,0.0006444557660343834,0.0,0.0,0.0,0.0,0.4206020200924962,-1.955984810982304,0.0,0.0,0.0,0.0,-0.42060202009249625,1.9559848109823044,2.000695539081189,0.0,24.098720605976684,-112.0696744609801,0.0,0.0,0.0,0.0,-24.098720605976688,112.06967446098011,114.63141048000318
8,0.04007530212402344,1775831872.122302,0.082219405,-19.391934677336558,0.72676048808186,0.7668624542107196,-19.31,0.92,0.8668658037774767,0.08193467733655879,0.19323951191814004,0.10000334956675705,0.23249832309326018,-1.676721663452163,-4.179200343134295,-1.9840020014405708,4.920708789032713,0.0,0.0,0.0006283861850176485,0.0006283861850176485,0.0,0.0,0.0,0.0,0.4150048339472747,-1.9523422172597642,0.0,0.0,0.0,0.0,-0.4150048339472745,1.9523422172597638,1.9959632124601834,0.0,23.778025462706395,-111.86096921419771,0.0,0.0,0.0,0.0,-23.77802546270638,111.8609692141977,114.36026813734216
9,0.045075178146362305,1775831872.127302,0.087219405,-19.400522505064036,0.7053126659907436,0.756712552102411,-19.31,0.92,0.8668689063884267,0.0905225050640368,0.21468733400925644,0.11015635428601578,0.25771961061715276,-1.7219583763741215,-4.339853393247721,-2.024286434908992,5.088929523525092,0.0,0.0,0.0006127210485766598,0.0006127210485766598,0.0,0.0,0.0,0.0,0.40909848473787197,-1.948522040757754,0.0,0.0,0.0,0.0,-0.4090984847378718,1.9485220407577541,1.9910046995257409,0.0,23.439616580677185,-111.64208922363747,0.0,0.0,0.0,0.0,-23.43961658067718,111.64208922363748,114.07616627353757
