sample_idx,t_rel_s,stamp_s,t_in_traj_s,x_des_m,y_des_m,z_des_m,x_act_m,y_act_m,z_act_m,ex_m,ey_m,ez_m,e_pos_norm_m,vx_des_mps,vy_des_mps,vz_des_mps,speed_des_mps,vx_act_mps,vy_act_mps,vz_act_mps,speed_act_mps,wx_act_radps,wy_act_radps,wz_act_radps,roll_des_rad,pitch_des_rad,yaw_des_rad,roll_act_rad,pitch_act_rad,yaw_act_rad,e_roll_rad,e_pitch_rad,e_yaw_rad,e_ang_norm_rad,roll_des_deg,pitch_des_deg,yaw_des_deg,roll_act_deg,pitch_act_deg,yaw_act_deg,e_roll_deg,e_pitch_deg,e_yaw_deg,e_ang_norm_deg
0,0.0,1775824090.8864963,0.043425197,-19.162984547952153,-0.9916689604496365,0.8174968467919388,-19.31,-0.92,0.8426613666001948,-0.14701545204784594,0.07166896044963644,0.02516451980825596,0.16547880858268274,5.931314269359333,-2.9555340765684828,-1.046828198543148,6.709062521465144,0.0,0.0,0.0021696235682481546,0.0021696235682481546,0.0,0.0,0.0,0.0,0.15667212705764735,-0.46228130575865517,0.0,0.0,0.0,0.0,-0.15667212705764744,0.4622813057586552,0.48810875944884957,0.0,8.976651647740582,-26.4867677677677,0.0,0.0,0.0,0.0,-8.976651647740587,26.486767767767702,27.96657185978542
1,0.00531458854675293,1775824090.891811,0.048739815,-19.129435206516582,-1.008377861799841,0.8115791584986857,-19.31,-0.92,0.8426720779934407,-0.18056479348341625,0.08837786179984086,0.03109291949475501,0.20342335348904228,6.389739999807987,-3.2072609288518326,-1.1399279757817211,7.239802187964496,0.0,0.0,0.002115159719204616,0.002115159719204616,0.0,0.0,0.0,0.0,0.15811086455922105,-0.46519775847508577,0.0,0.0,0.0,0.0,-0.15811086455922085,0.4651977584750857,0.4913328810306801,0.0,9.05908523440795,-26.653868199568638,0.0,0.0,0.0,0.0,-9.05908523440794,26.653868199568635,28.151300419061357
2,0.010055780410766602,1775824090.896552,0.053480921,-19.097579643934466,-1.0243594590437644,0.8058995971360292,-19.31,-0.92,0.8426825203419945,-0.21242035606553245,0.10435945904376431,0.03678292320596532,0.23951260468395114,6.746156070516117,-3.4102190699087482,-1.216040659615233,7.6563026793856706,0.0,0.0,0.002062004656635263,0.002062004656635263,0.0,0.0,0.0,0.0,0.1595041876851395,-0.46804231120016615,0.0,0.0,0.0,0.0,-0.15950418768513952,0.46804231120016615,0.4944746615982354,0.0,9.138916769021053,-26.81684906531818,0.0,0.0,0.0,0.0,-9.138916769021055,26.81684906531818,28.33131118573849
3,0.015834569931030273,1775824090.9023309,0.059259634,-19.0566493640579,-1.045065027653744,0.7985131217730851,-19.31,-0.92,0.8426927003341969,-0.2533506359420983,0.12506502765374405,0.044179578561111765,0.2859713989827214,7.113580988943192,-3.6300474808890377,-1.299960993272953,8.091364395687174,0.0,0.0,0.002010207883215215,0.002010207883215215,0.0,0.0,0.0,0.0,0.16135960217396553,-0.47185217677676805,0.0,0.0,0.0,0.0,-0.1613596021739654,0.47185217677676805,0.4986796546308208,0.0,9.245224188478208,-27.035138283369644,0.0,0.0,0.0,0.0,-9.2452241884782,27.035138283369644,28.572239539387553
4,0.01997828483581543,1775824090.9064746,0.063403536,-19.026097384864418,-1.0606513532364352,0.792931763672909,-19.31,-0.92,0.8427026244248548,-0.283902615135581,0.14065135323643518,0.04977086075194581,0.3207189371210435,7.331746587648345,-3.7690529194324967,-1.3541541259415504,8.35428041974773,0.0,0.0,0.001959619514508579,0.001959619514508579,0.0,0.0,0.0,0.0,0.16280936382612718,-0.47484251551900014,0.0,0.0,0.0,0.0,-0.1628093638261272,0.47484251551900014,0.5019783894689891,0.0,9.328289412446983,-27.206472072614,0.0,0.0,0.0,0.0,-9.328289412446985,27.206472072614,28.761243123347363
5,0.025239944458007812,1775824090.9117362,0.06866514,-18.98613547161711,-1.0812168630154755,0.7855390036963328,-19.31,-0.92,0.8427122986314309,-0.32386452838288804,0.16121686301547544,0.05717329493509815,0.36626205825741326,7.554218562865687,-3.9231254015315513,-1.4157599470929592,8.629108136967533,0.0,0.0,0.0019102711312872364,0.0019102711312872364,0.0,0.0,0.0,0.0,0.16481306734967963,-0.47899103246451014,0.0,0.0,0.0,0.0,-0.1648130673496797,0.4789910324645099,0.506552816940768,0.0,9.443093167742031,-27.44416458483023,0.0,0.0,0.0,0.0,-9.443093167742036,27.44416458483022,29.023338511168998
6,0.03029918670654297,1775824090.9167955,0.073724348,-18.946754375115674,-1.1016951276650981,0.7781444208997211,-19.31,-0.92,0.8427217292426721,-0.36324562488432477,0.1816951276650981,0.06457730834295095,0.41125506947350865,7.710589735605565,-4.047609647459621,-1.4673945989424089,8.831171204208388,0.0,0.0,0.0018621906741317846,0.0018621906741317846,0.0,0.0,0.0,0.0,0.1669350735527769,-0.4834012530182197,0.0,0.0,0.0,0.0,-0.1669350735527768,0.48340125301821946,0.5114138150281586,0.0,9.564675167280086,-27.696851609279637,0.0,0.0,0.0,0.0,-9.56467516728008,27.696851609279623,29.301853185797643
7,0.03501391410827637,1775824090.9215102,0.078438942,-18.909466274446867,-1.1212949725627226,0.7710345819897864,-19.31,-0.92,0.8427309226356579,-0.4005337255531316,0.20129497256272255,0.07169634064587149,0.45396838716644955,7.805528129750881,-4.142733302867263,-1.5088039072727124,8.964652688956733,0.0,0.0,0.0018153626087915034,0.0018153626087915034,0.0,0.0,0.0,0.0,0.16911079608120086,-0.48793885056483016,0.0,0.0,0.0,0.0,-0.16911079608120083,0.48793885056483033,0.5164133840652713,0.0,9.689334885550311,-27.956836797829332,0.0,0.0,0.0,0.0,-9.68933488555031,27.956836797829343,29.58830739100848
8,0.03996849060058594,1775824090.9264648,0.083393539,-18.86992629449203,-1.142322958366262,0.7633694164713034,-19.31,-0.92,0.8427398848557722,-0.4400737055079702,0.22232295836626192,0.07937046838446882,0.49939166527667667,7.852504221923338,-4.220990050183681,-1.5453469913256466,9.048020605782941,0.0,0.0,0.001769730498450275,0.001769730498450275,0.0,0.0,0.0,0.0,0.17163538155882926,-0.4932222376049827,0.0,0.0,0.0,0.0,-0.17163538155882918,0.4932222376049826,0.5222325917356277,0.0,9.833982978438437,-28.25955257676419,0.0,0.0,0.0,0.0,-9.833982978438433,28.259552576764186,29.921723430630067
9,0.04509902000427246,1775824090.9315953,0.088524152,-18.82888093688222,-1.1644471541899666,0.7552602238341142,-19.31,-0.92,0.842748621919186,-0.4811190631177773,0.24444715418996654,0.0874883980850718,0.5467030125089791,7.844126083645973,-4.2785791488838925,-1.5756555821058058,9.0729953192328,0.0,0.0,0.0017252798221804875,0.0017252798221804875,0.0,0.0,0.0,0.0,0.17454931877442692,-0.4993432751369994,0.0,0.0,0.0,0.0,-0.17454931877442714,0.4993432751369995,0.5289718055900161,0.0,10.000939282658285,-28.610262193589918,0.0,0.0,0.0,0.0,-10.000939282658297,28.610262193589925,30.30785194172261
