sample_idx,t_rel_s,stamp_s,t_in_traj_s,x_des_m,y_des_m,z_des_m,x_act_m,y_act_m,z_act_m,ex_m,ey_m,ez_m,e_pos_norm_m,vx_des_mps,vy_des_mps,vz_des_mps,speed_des_mps,vx_act_mps,vy_act_mps,vz_act_mps,speed_act_mps,wx_act_radps,wy_act_radps,wz_act_radps,roll_des_rad,pitch_des_rad,yaw_des_rad,roll_act_rad,pitch_act_rad,yaw_act_rad,e_roll_rad,e_pitch_rad,e_yaw_rad,e_ang_norm_rad,roll_des_deg,pitch_des_deg,yaw_des_deg,roll_act_deg,pitch_act_deg,yaw_act_deg,e_roll_deg,e_pitch_deg,e_yaw_deg,e_ang_norm_deg
0,0.0,1775721619.4260972,0.011844115,-19.309056412488122,0.909570582527373,0.6788550846255184,-19.31,0.92,0.6739206186368674,-0.0009435875118768422,0.010429417472627045,-0.004934465988650993,0.011576357838459455,0.1722384658971492,-1.1672521497031563,0.6351192867891776,1.3399702155543745,0.0,0.0,0.0038986215189347334,0.0038986215189347334,0.0,0.0,0.0,0.0,-0.4938054571344494,-1.4242945947513865,0.0,0.0,0.0,0.0,0.49380545713444945,1.4242945947513865,1.507467718438368,0.0,-28.292968594332237,-81.60606906255038,0.0,0.0,0.0,0.0,28.29296859433224,81.60606906255038,86.371538018734
1,0.004998445510864258,1775721619.4310956,0.016842552,-19.308259698863296,0.90389878818015,0.6819021900743025,-19.31,0.92,0.6739398667878485,-0.001740301136702982,0.016101211819850025,-0.007962323286454076,0.0180465027701241,0.19449943457422106,-1.2326116514566798,0.6831165027809867,1.4226066461703955,0.0,0.0,0.0038010380986439577,0.0038010380986439577,0.0,0.0,0.0,0.0,-0.5008673136517987,-1.4142921745038175,0.0,0.0,0.0,0.0,0.5008673136517987,1.4142921745038173,1.5003634295554877,0.0,-28.697583168303307,-81.03297259744848,0.0,0.0,0.0,0.0,28.697583168303307,81.03297259744846,85.96449224930325
2,0.010002613067626953,1775721619.4360998,0.02184669,-19.3072327954443,0.897520261590511,0.6854585795527571,-19.31,0.92,0.6739586330613244,-0.00276720455569901,0.022479738409489025,-0.011499946491432711,0.025401669813576295,0.2249828916974117,-1.3219966441797737,0.7487932061263053,1.5358983346302657,0.0,0.0,0.0037058799527403684,0.0037058799527403684,0.0,0.0,0.0,0.0,-0.5092560637629336,-1.4022271854125208,0.0,0.0,0.0,0.0,0.5092560637629338,1.4022271854125208,1.491838737259908,0.0,-29.17822314506124,-80.34169964264579,0.0,0.0,0.0,0.0,29.178223145061246,80.34169964264579,85.47606335911884
3,0.015033721923828125,1775721619.4411309,0.026877878,-19.305974378788992,0.8904391231489505,0.6895233790366773,-19.31,0.92,0.6739769293808868,-0.00402562121100658,0.029560876851049578,-0.01554644965579044,0.03364139062579684,0.2694866345804848,-1.451342657748156,0.8441903738686142,1.7004928531897532,0.0,0.0,0.0036129996193227936,0.0036129996193227936,0.0,0.0,0.0,0.0,-0.5194913398261075,-1.3872062576835467,0.0,0.0,0.0,0.0,0.5194913398261076,1.3872062576835464,1.4812874310918573,0.0,-29.764661265632377,-79.48106387940454,0.0,0.0,0.0,0.0,29.764661265632384,79.48106387940454,84.87151804733918
4,0.020030736923217773,1775721619.446128,0.031874879,-19.304505518462715,0.8827809113784206,0.694025212069547,-19.31,0.92,0.6739947666433587,-0.005494481537283491,0.03721908862157941,-0.02003044542618837,0.04262239586363068,0.31263571671491525,-1.5722399023335363,0.9347758173015587,1.855663016408802,0.0,0.0,0.003522269908065005,0.003522269908065005,0.0,0.0,0.0,0.0,-0.5279253424242756,-1.3745093426373123,0.0,0.0,0.0,0.0,0.5279253424242754,1.374509342637312,1.4724065675522655,0.0,-30.24789401890978,-78.75358423441916,0.0,0.0,0.0,0.0,30.247894018909765,78.75358423441915,84.36268204808896
5,0.025027990341186523,1775721619.4511251,0.036872183,-19.30282355389832,0.8745369079410856,0.6989696463970294,-19.31,0.92,0.6740121554638958,-0.007176446101677669,0.04546309205891441,-0.024957490933133597,0.05235714346567292,0.3547386499790583,-1.6855997370193356,1.0212170707603605,2.002491020913949,0.0,0.0,0.0034335720758121363,0.0034335720758121363,0.0,0.0,0.0,0.0,-0.5351538180383039,-1.363370800726093,0.0,0.0,0.0,0.0,0.535153818038304,1.3633708007260932,1.4646397335978165,0.0,-30.662055163906835,-78.11539279297672,0.0,0.0,0.0,0.0,30.662055163906842,78.11539279297673,83.91767524232013
6,0.03000164031982422,1775721619.4560988,0.041845675,-19.300943297743522,0.8657883941886932,0.7043091490334599,-19.31,0.92,0.6740291055833287,-0.009056702256476257,0.054211605811306796,-0.030280043450131133,0.06275191703641256,0.39559965131266134,-1.7909282878377837,1.1031262392038441,2.140282858856813,0.0,0.0,0.003346804833401278,0.003346804833401278,0.0,0.0,0.0,0.0,-0.5414876883815223,-1.3533964683537938,0.0,0.0,0.0,0.0,0.5414876883815225,1.353396468353794,1.4577005581467297,0.0,-31.024959202556328,-77.54390564458326,0.0,0.0,0.0,0.0,31.024959202556342,77.54390564458328,83.52008977567206
7,0.035027265548706055,1775721619.4611244,0.046871268,-19.29883956051146,0.8564351311838531,0.710107930076735,-19.31,0.92,0.674045626567519,-0.011160439488538287,0.06356486881614698,-0.03606230350921602,0.07392927492936822,0.4358334951836796,-1.8897691537765025,1.1817182972485103,2.2710430256032357,0.0,0.0,0.003261872139019717,0.003261872139019717,0.0,0.0,0.0,0.0,-0.5472509914821446,-1.3441316658360265,0.0,0.0,0.0,0.0,0.5472509914821444,1.3441316658360263,1.4512661998342418,0.0,-31.35517214627665,-77.01307156229302,0.0,0.0,0.0,0.0,31.355172146276637,77.013071562293,83.15142820049158
8,0.0399937629699707,1775721619.466091,0.051837744,-19.296564522736684,0.8467225783167108,0.7162162493814586,-19.31,0.92,0.6740617272297926,-0.01343547726331451,0.07327742168328921,-0.04215452215166593,0.08559845977398728,0.47455199841923706,-1.9799508157658938,1.2552627010760766,2.391879863364489,0.0,0.0,0.003178693506695403,0.003178693506695403,0.0,0.0,0.0,0.0,-0.552482178409475,-1.3355551879835026,0.0,0.0,0.0,0.0,0.5524821784094751,1.3355551879835028,1.4453180333787192,0.0,-31.654897079056692,-76.52167557825598,0.0,0.0,0.0,0.0,31.654897079056695,76.521675578256,82.81062336674886
9,0.0449981689453125,1775721619.4710953,0.056842219,-19.29408018662894,0.8365014892632051,0.7227304153338978,-19.31,0.92,0.6740774162942464,-0.015919813371059632,0.08349851073679493,-0.04865299903965137,0.09794159519113595,0.5125189247341843,-2.0632845547391696,1.3252238735982966,2.505202011253937,0.0,0.0,0.0030971911263555966,0.0030971911263555966,0.0,0.0,0.0,0.0,-0.5574085848858708,-1.3273245496422497,0.0,0.0,0.0,0.0,0.557408584885871,1.3273245496422499,1.439616195583903,0.0,-31.937159378320082,-76.05009473860363,0.0,0.0,0.0,0.0,31.937159378320096,76.05009473860365,82.48393212563771
