sample_idx,t_rel_s,stamp_s,t_in_traj_s,x_des_m,y_des_m,z_des_m,x_act_m,y_act_m,z_act_m,ex_m,ey_m,ez_m,e_pos_norm_m,vx_des_mps,vy_des_mps,vz_des_mps,speed_des_mps,vx_act_mps,vy_act_mps,vz_act_mps,speed_act_mps,wx_act_radps,wy_act_radps,wz_act_radps,roll_des_rad,pitch_des_rad,yaw_des_rad,roll_act_rad,pitch_act_rad,yaw_act_rad,e_roll_rad,e_pitch_rad,e_yaw_rad,e_ang_norm_rad,roll_des_deg,pitch_des_deg,yaw_des_deg,roll_act_deg,pitch_act_deg,yaw_act_deg,e_roll_deg,e_pitch_deg,e_yaw_deg,e_ang_norm_deg
0,0.0027265548706054688,1775824090.8892229,0.046151648,-19.329513610812533,0.7380611747058248,0.9317916092590257,-19.31,0.92,0.9759367281957231,0.019513610812534665,0.18193882529417527,0.04414511893669737,0.1882320607184192,-0.8030328492766968,-6.877768720703649,-1.7210730980830975,7.135170421332087,0.0,0.0,0.00043685709387964193,0.00043685709387964193,0.0,0.0,0.0,0.0,0.24361227670454957,-1.6870278199146587,0.0,0.0,0.0,0.0,-0.24361227670454966,1.6870278199146584,1.7045262704127442,0.0,13.957955292743874,-96.65957400226624,0.0,0.0,0.0,0.0,-13.957955292743879,96.65957400226623,97.66216136382513
1,0.004225015640258789,1775824090.8907213,0.047650144,-19.330744069907638,0.7274083776197434,0.9291365065306758,-19.31,0.92,0.9759375974927582,0.02074406990763933,0.19259162238025662,0.0468010909620824,0.1992791799527324,-0.825718494195904,-7.0210203807461715,-1.7616871301024852,7.285607714039989,0.0,0.0,0.00043244764345155075,0.00043244764345155075,0.0,0.0,0.0,0.0,0.24422431539839867,-1.6878651869829466,0.0,0.0,0.0,0.0,-0.2442243153983985,1.6878651869829469,1.7054425835133808,0.0,13.993022526800127,-96.70755160118237,0.0,0.0,0.0,0.0,-13.993022526800116,96.70755160118239,97.71466223720415
2,0.009220123291015625,1775824090.8957164,0.052645172,-19.335088015464642,0.6904225322466118,0.9198606909045073,-19.31,0.92,0.9759397325625216,0.02508801546464312,0.22957746775338828,0.05607904165801436,0.23765538313552573,-0.8996995934557718,-7.459813897469318,-1.889678046507873,7.747849112030685,0.0,0.0,0.00042162797185754577,0.00042162797185754577,0.0,0.0,0.0,0.0,0.24638230167857064,-1.690822776328289,0.0,0.0,0.0,0.0,-0.24638230167857067,1.6908227763282895,1.7086795777824861,0.0,14.116666032901117,-96.87700898820336,0.0,0.0,0.0,0.0,-14.116666032901119,96.87700898820339,97.90012834713193
3,0.014569997787475586,1775824090.9010663,0.057995179,-19.340143220518815,0.6485500792538211,0.9092495789838878,-19.31,0.92,0.9759418142346327,0.03014322051881635,0.2714499207461789,0.06669223525074486,0.2811432507799067,-0.9761426829560272,-7.863727954937917,-2.0141543740692662,8.176055878560458,0.0,0.0,0.0004110885432431919,0.0004110885432431919,0.0,0.0,0.0,0.0,0.24891023094728845,-1.6942968852088405,0.0,0.0,0.0,0.0,-0.24891023094728837,1.694296885208841,1.712483062193204,0.0,14.261505710906238,-97.07606076462787,0.0,0.0,0.0,0.0,-14.261505710906235,97.0760607646279,98.11805195130985
4,0.019298076629638672,1775824090.9057944,0.062723239,-19.344945229702066,0.6098869947647416,0.8993444947403748,-19.31,0.92,0.9759438438977202,0.03494522970206759,0.3101130052352584,0.07659934915734534,0.3213389260365177,-1.0412923023972451,-8.163809964876224,-2.113303259037979,8.496948479678139,0.0,0.0,0.0004008184241878624,0.0004008184241878624,0.0,0.0,0.0,0.0,0.2513514828782029,-1.6976610976381357,0.0,0.0,0.0,0.0,-0.25135148287820286,1.6976610976381359,1.7161674657151007,0.0,14.4013791432758,-97.26881593821194,0.0,0.0,0.0,0.0,-14.401379143275797,97.26881593821196,98.32915272313768
5,0.02409982681274414,1775824090.9105961,0.067524991,-19.3501318327599,0.5692996213980578,0.8888301344523978,-19.31,0.92,0.9759454310523578,0.04013183275990073,0.35070037860194225,0.08711529659995998,0.3635799698194515,-1.105145974737187,-8.413948565174008,-2.2035712323790366,8.767645308692638,0.0,0.0,0.00039278831464773623,0.00039278831464773623,0.0,0.0,0.0,0.0,0.2540539920741621,-1.7013956076741041,0.0,0.0,0.0,0.0,-0.25405399207416224,1.7013956076741046,1.7202588307291302,0.0,14.556221514299557,-97.48278760182218,0.0,0.0,0.0,0.0,-14.556221514299564,97.48278760182221,98.56357067088905
6,0.029237985610961914,1775824090.9157343,0.072663194,-19.356014957271093,0.5246912673503711,0.8771282293929339,-19.31,0.92,0.9759477524002518,0.04601495727109395,0.39530873264962896,0.09881952300731789,0.4100630055602556,-1.1708939940786143,-8.62065081948739,-2.2885271646550294,8.995775112810566,0.0,0.0,0.00038105194770259065,0.00038105194770259065,0.0,0.0,0.0,0.0,0.2572274675323843,-1.7057945270478905,0.0,0.0,0.0,0.0,-0.25722746753238424,1.7057945270478907,1.7250799803370453,0.0,14.738048264444032,-97.73482711635847,0.0,0.0,0.0,0.0,-14.738048264444028,97.73482711635849,98.83980219582374
7,0.03421926498413086,1775824090.9207156,0.077644321,-19.36203431900328,0.48058415040131,0.8653962504673857,-19.31,0.92,0.9759496337760465,0.052034319003279705,0.43941584959869007,0.11055338330866082,0.4560876119712805,-1.2320860385993446,-8.760868142964531,-2.359401168697286,9.156288576698111,0.0,0.0,0.000371541425096368,0.000371541425096368,0.0,0.0,0.0,0.0,0.2606213340744162,-1.7105151579564746,0.0,0.0,0.0,0.0,-0.2606213340744161,1.7105151579564746,1.7302559305991676,0.0,14.932502493533118,-98.00529934405935,0.0,0.0,0.0,0.0,-14.932502493533114,98.00529934405935,99.13636230081298
8,0.03961753845214844,1775824090.9261138,0.083042694,-19.368894625196198,0.43216961236720375,0.8523164813322188,-19.31,0.92,0.9759514682171783,0.05889462519619926,0.4878303876327963,0.12363498688495944,0.5066879453440837,-1.2955736018792405,-8.845948544159729,-2.4234451142062596,9.262958643186213,0.0,0.0,0.00036227237655686134,0.00036227237655686134,0.0,0.0,0.0,0.0,0.2647080967685615,-1.7162219415993096,0.0,0.0,0.0,0.0,-0.26470809676856133,1.7162219415993096,1.736516089566042,0.0,15.16665674777916,-98.3322739613881,0.0,0.0,0.0,0.0,-15.166656747779149,98.3322739613881,99.49504298869586
9,0.04423403739929199,1775824090.9307303,0.087659293,-19.375027624138443,0.39053654237478885,0.8408823127510371,-19.31,0.92,0.9759532568665196,0.06502762413844465,0.5294634576252112,0.13507094411548248,0.5502765711946879,-1.3475317283063502,-8.86352002050856,-2.467679878276074,9.298778032322149,0.0,0.0,0.00035322636211432127,0.00035322636211432127,0.0,0.0,0.0,0.0,0.26859470508051214,-1.7216721995172277,0.0,0.0,0.0,0.0,-0.268594705080512,1.7216721995172275,1.7424977125344456,0.0,15.389343000674396,-98.64455073734256,0.0,0.0,0.0,0.0,-15.389343000674387,98.64455073734254,99.8377647394239
